Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,0.140000,0.140000,0.130000,0.140000,0.140000,4
2019-06-17,0.140000,0.140000,0.130000,0.140000,0.140000,107
2019-06-18,0.140000,0.140000,0.130000,0.140000,0.140000,1
2019-06-19,0.140000,0.140000,0.130000,0.140000,0.140000,67
2019-06-20,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-06-21,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-06-24,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-06-25,0.140000,0.140000,0.130000,0.140000,0.140000,340
2019-06-26,0.140000,0.140000,0.130000,0.140000,0.140000,79
2019-06-27,0.140000,0.140000,0.140000,0.140000,0.140000,0
2019-06-28,0.140000,0.140000,0.130000,0.140000,0.140000,450
2019-07-01,0.140000,0.140000,0.130000,0.140000,0.140000,53
2019-07-02,0.140000,0.140000,0.130000,0.140000,0.140000,240
2019-07-03,0.140000,0.140000,0.130000,0.140000,0.140000,10652
2019-07-05,0.125000,0.125000,0.100000,0.125000,0.125000,14668
2019-07-08,0.125000,0.125000,0.125000,0.125000,0.125000,0
2019-07-09,0.125000,0.125000,0.125000,0.125000,0.125000,0
2019-07-10,0.125000,0.125000,0.125000,0.125000,0.125000,0
2019-07-11,0.115000,0.115000,0.100000,0.125000,0.125000,10
2019-07-12,0.115000,0.115000,0.100000,0.125000,0.125000,9
2019-07-15,0.125000,0.125000,0.125000,0.125000,0.125000,0
2019-07-16,0.115000,0.115000,0.100000,0.125000,0.125000,6000
2019-07-17,0.115000,0.115000,0.080000,0.105000,0.105000,3950
2019-07-18,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-07-19,0.105000,0.105000,0.080000,0.105000,0.105000,6050
2019-07-22,0.105000,0.112500,0.105000,0.105000,0.105000,831
2019-07-23,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-07-24,0.105000,0.105000,0.080000,0.105000,0.105000,1000
2019-07-25,0.105000,0.105000,0.080000,0.105000,0.105000,5000
2019-07-26,0.105000,0.105000,0.080000,0.105000,0.105000,227
2019-07-29,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-07-30,0.105000,0.112200,0.105000,0.105000,0.105000,1336
2019-07-31,0.105000,0.105000,0.080000,0.105000,0.105000,4565
2019-08-01,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-02,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-05,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-06,0.105000,0.105000,0.080000,0.105000,0.105000,500
2019-08-07,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-08,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-09,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-12,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-13,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-14,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-15,0.105000,0.105000,0.080000,0.105000,0.105000,401
2019-08-16,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-19,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-20,0.105000,0.105000,0.080000,0.105000,0.105000,1001
2019-08-21,0.105000,0.105000,0.080000,0.105000,0.105000,2
2019-08-22,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-23,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-26,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-27,0.105000,0.105000,0.080000,0.105000,0.105000,25
2019-08-28,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-29,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-08-30,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-03,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-04,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-05,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-06,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-09,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-10,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-11,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-12,0.105000,0.112200,0.105000,0.105000,0.105000,2400
2019-09-13,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-16,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-17,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-18,0.105000,0.105000,0.090000,0.105000,0.105000,445
2019-09-19,0.105000,0.105000,0.090000,0.105000,0.105000,20
2019-09-20,0.105000,0.105000,0.090000,0.105000,0.105000,66
2019-09-23,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-24,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-25,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-09-26,0.105000,0.105000,0.090000,0.105000,0.105000,49
2019-09-27,0.105000,0.105000,0.090000,0.105000,0.105000,281
2019-09-30,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-01,0.105000,0.105000,0.090000,0.105000,0.105000,1121
2019-10-02,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-03,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-04,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-07,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-08,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-09,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-10,0.105000,0.105000,0.090000,0.105000,0.105000,25
2019-10-11,0.105000,0.105000,0.090000,0.105000,0.105000,7290
2019-10-14,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-15,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-16,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-17,0.105000,0.105000,0.090000,0.105000,0.105000,4
2019-10-18,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-21,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-22,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-23,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-24,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-25,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-28,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-29,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-10-30,0.105000,0.105000,0.090000,0.105000,0.105000,24
2019-10-31,0.105000,0.105000,0.090000,0.105000,0.105000,200
2019-11-01,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-04,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-05,0.105000,0.105000,0.090000,0.105000,0.105000,8
2019-11-06,0.105000,0.105000,0.090000,0.105000,0.105000,150
2019-11-07,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-08,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-11,0.105000,0.105000,0.090000,0.105000,0.105000,12
2019-11-12,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-13,0.105000,0.105000,0.090000,0.105000,0.105000,3030
2019-11-14,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-15,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-18,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-19,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-20,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-21,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-22,0.105000,0.105000,0.090000,0.105000,0.105000,1
2019-11-25,0.105000,0.105000,0.090000,0.105000,0.105000,17
2019-11-26,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-11-27,0.105000,0.105000,0.090000,0.105000,0.105000,100
2019-11-29,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-02,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-03,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-04,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-05,0.105000,0.105000,0.090000,0.105000,0.105000,28
2019-12-06,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-09,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-10,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-11,0.105000,0.105000,0.090000,0.105000,0.105000,5
2019-12-12,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-13,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-16,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-17,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-18,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-19,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-20,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-23,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-24,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-26,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-27,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-30,0.105000,0.105000,0.105000,0.105000,0.105000,0
2019-12-31,0.105000,0.105000,0.105000,0.105000,0.105000,0
2020-01-02,0.105000,0.105000,0.090000,0.105000,0.105000,117
2020-01-03,0.105000,0.105000,0.090000,0.105000,0.105000,3188
2020-01-06,0.105000,0.105000,0.090000,0.105000,0.105000,2500
2020-01-07,0.105000,0.105000,0.105000,0.105000,0.105000,0
2020-01-08,0.105000,0.105000,0.080000,0.095000,0.095000,9000
2020-01-09,0.095000,0.095000,0.070000,0.090000,0.090000,10723
2020-01-10,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-13,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-14,0.090000,0.090000,0.080000,0.090000,0.090000,540
2020-01-15,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-16,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-17,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-21,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-22,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-23,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-24,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-27,0.090000,0.090000,0.080000,0.090000,0.090000,5
2020-01-28,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-29,0.090000,0.090000,0.080000,0.090000,0.090000,30
2020-01-30,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-01-31,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-02-03,0.085000,0.090000,0.080000,0.090000,0.090000,506
2020-02-04,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-02-05,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-02-06,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-02-07,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-02-10,0.090000,0.090000,0.072500,0.085000,0.085000,5428
2020-02-11,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-02-12,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-02-13,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-02-14,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-02-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-25,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-26,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-02-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-03,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-04,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-05,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-06,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-10,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-11,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-12,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-13,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-16,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-23,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-25,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-26,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-30,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-03-31,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-01,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-03,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-06,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-07,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-13,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-15,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-16,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-22,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-23,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-29,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-04-30,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-01,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-04,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-05,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-06,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-07,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-11,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-12,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-13,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-15,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-22,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-26,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-05-29,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-01,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-03,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-04,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-05,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-10,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-11,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-12,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-15,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-16,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-22,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-23,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-25,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-26,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-29,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-06-30,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-01,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-06,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-07,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-10,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-13,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-15,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-16,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-22,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-23,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-29,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-30,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-07-31,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-03,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-04,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-05,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-06,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-07,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-10,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-11,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-12,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-13,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-25,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-26,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-08-31,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-01,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-03,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-04,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-10,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-11,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-15,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-16,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-22,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-23,0.075000,0.075000,0.075000,0.075000,0.075000,0
2020-09-24,0.075000,0.075000,0.075000,0.075000,0.075000,0
